,タイトル,製作年度,上映時間,製作国,ジャンル1,ジャンル2,ジャンル3,ジャンル4,平均評価,評価数,5点評価の割合,4点評価の割合,3点評価の割合,2点評価の割合,1点評価の割合,物語,配役,演出,映像,音楽,詳細url
24,ローグ・ワン／スター・ウォーズ・ストーリー,2016年,134分,アメリカ,SF,アドベンチャー,ジャンル記載なし,ジャンル記載なし,4.2,11764,50.8,29.0,12.8,4.4,3.1,3.9281,3.92147,3.96303,4.42671,3.80077,https://movies.yahoo.co.jp/movie/356251
25,翔んで埼玉,2018年,106分,日本,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.17,11755,54.6,22.7,12.6,5.1,5.1,3.55648,4.25649,3.81863,3.67703,3.59343,https://movies.yahoo.co.jp/movie/365245
26,ファンタスティック・ビーストと魔法使いの旅,2016年,133分,"イギリス,アメリカ",ファンタジー,アドベンチャー,ジャンル記載なし,ジャンル記載なし,3.82,11738,39.8,27.4,17.3,5.9,9.5,3.29477,3.73345,3.61833,4.16216,3.6013,https://movies.yahoo.co.jp/movie/355757
27,マスカレード・ホテル,2018年,133分,日本,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.04,11556,45.0,28.9,16.4,4.9,4.9,3.42252,3.79917,3.27697,3.49275,3.39062,https://movies.yahoo.co.jp/movie/364876
28,マッドマックス　怒りのデス・ロード,2015年,120分,オーストラリア,アクション,SF,ジャンル記載なし,ジャンル記載なし,4.13,11443,52.0,24.5,13.1,5.2,5.2,3.41559,4.08333,4.27182,4.50609,4.0309,https://movies.yahoo.co.jp/movie/350752
29,インターステラー,2014年,169分,アメリカ,SF,ドラマ,ジャンル記載なし,ジャンル記載なし,4.22,11128,51.4,29.3,12.2,4.3,2.8,4.03949,4.19361,4.13743,4.55415,3.96357,https://movies.yahoo.co.jp/movie/349221
30,オデッセイ,2015年,142分,アメリカ,SF,アドベンチャー,ドラマ,ジャンル記載なし,3.84,11111,31.5,36.9,20.8,5.7,5.1,3.46774,3.93634,3.54119,4.06785,3.52068,https://movies.yahoo.co.jp/movie/353437
31,進撃の巨人 ATTACK ON TITAN,2015年,98分,日本,アクション,アドベンチャー,ホラー,ジャンル記載なし,2.22,10873,12.6,10.4,13.1,13.8,50.2,1.85777,2.33381,2.00646,2.55361,2.14486,https://movies.yahoo.co.jp/movie/348867
32,ダンケルク,2017年,106分,"イギリス,アメリカ,フランス",戦争,ドラマ,アクション,ジャンル記載なし,3.94,10436,43.1,24.9,19.6,7.6,4.8,3.06187,3.47832,3.65096,4.16178,3.59737,https://movies.yahoo.co.jp/movie/358077
33,キングスマン,2014年,129分,イギリス,アクション,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.18,10381,47.9,32.6,12.4,3.9,3.2,3.72184,4.27683,4.03754,4.12936,3.93504,https://movies.yahoo.co.jp/movie/353152
34,崖の上のポニョ,2008年,101分,日本,ファミリー,ファンタジー,ドラマ,アニメ,3.56,10325,17.1,49.8,14.8,8.8,9.4,2.9874,3.16889,3.46214,4.16395,3.91032,https://movies.yahoo.co.jp/movie/327529
35,マイ・インターン,2015年,121分,アメリカ,コメディ,ドラマ,ジャンル記載なし,ジャンル記載なし,4.13,10221,45.1,35.1,11.4,4.3,4.1,3.87229,4.56168,3.90119,3.8849,3.68811,https://movies.yahoo.co.jp/movie/353403
36,スター・ウォーズ／スカイウォーカーの夜明け,2019年,142分,アメリカ,SF,アドベンチャー,ジャンル記載なし,ジャンル記載なし,4.11,10055,53.0,22.3,13.4,5.3,6.1,3.17038,3.58722,3.40537,4.12159,4.17155,https://movies.yahoo.co.jp/movie/367080
37,ジュラシック・ワールド,2015年,125分,アメリカ,SF,アクション,アドベンチャー,ジャンル記載なし,3.73,10007,27.6,35.4,24.3,7.9,4.7,2.84267,3.34536,3.48057,4.34817,3.71093,https://movies.yahoo.co.jp/movie/351033
38,バケモノの子,2015年,118分,日本,ファンタジー,青春,アドベンチャー,アニメ,3.64,9993,33.8,26.9,19.4,9.2,10.8,3.13649,3.3261,3.40159,4.10295,3.55234,https://movies.yahoo.co.jp/movie/351372
39,アベンジャーズ／エンドゲーム,2019年,181分,アメリカ,アクション,アドベンチャー,ジャンル記載なし,ジャンル記載なし,3.85,9875,48.3,18.6,12.3,11.1,9.7,3.72539,4.54059,4.00784,4.42378,4.07137,https://movies.yahoo.co.jp/movie/366491
40,検察側の罪人,2018年,123分,日本,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.75,9874,36.7,27.2,18.4,9.3,8.4,2.82963,3.7334,2.92799,3.20567,2.94404,https://movies.yahoo.co.jp/movie/363102
41,ズートピア,2016年,108分,アメリカ,アドベンチャー,ファンタジー,アニメ,ジャンル記載なし,4.28,9870,53.7,29.3,11.3,3.0,2.7,4.24684,4.21041,4.33156,4.66067,4.09619,https://movies.yahoo.co.jp/movie/354239
42,銀魂2　掟は破るためにこそある,2018年,135分,日本,コメディ,アクション,ジャンル記載なし,ジャンル記載なし,2.78,9710,27.7,15.0,9.5,3.7,44.2,3.41317,4.34601,3.43369,3.53892,3.42685,https://movies.yahoo.co.jp/movie/364143
43,サマーウォーズ,2009年,114分,日本,SF,アドベンチャー,青春,アニメ,4.18,9458,59.1,19.0,10.1,4.3,7.6,3.83274,3.67452,3.95858,4.35943,3.94566,https://movies.yahoo.co.jp/movie/333497
44,22年目の告白私が殺人犯です,2017年,117分,日本,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.91,9308,32.8,39.0,18.6,5.4,4.2,3.98474,4.16125,3.74808,3.71045,3.3423,https://movies.yahoo.co.jp/movie/358670
45,海街diary,2015年,128分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.77,9224,22.6,47.5,18.8,6.0,5.0,3.43115,4.18891,3.66099,4.04875,3.50056,https://movies.yahoo.co.jp/movie/349516
46,劇場版 おっさんずラブ LOVE or DEAD,2019年,114分,日本,コメディ,ドラマ,ジャンル記載なし,ジャンル記載なし,2.41,9206,24.5,8.4,6.5,5.3,55.3,2.9496,4.6554,3.12695,3.43211,4.06651,https://movies.yahoo.co.jp/movie/366786
47,おおかみこどもの雨と雪,2012年,117分,日本,ドラマ,ファミリー,ファンタジー,アニメ,4.07,9186,56.2,17.1,12.7,6.0,8.0,3.47181,3.68476,3.69741,4.21297,3.77041,https://movies.yahoo.co.jp/movie/341770
48,風立ちぬ,2013年,126分,日本,ドラマ,ロマンス,青春,アニメ,3.35,8963,29.7,21.0,20.3,12.5,16.5,3.27183,3.0315,3.38814,4.10801,3.90781,https://movies.yahoo.co.jp/movie/344584
49,DESTINY 鎌倉ものがたり,2017年,129分,日本,ドラマ,ファンタジー,コメディ,ジャンル記載なし,3.97,8918,42.8,28.7,17.0,6.2,5.4,3.57128,4.09941,3.59042,4.04794,3.84774,https://movies.yahoo.co.jp/movie/360432
50,ミッドナイトスワン,2020年,124分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.92,8857,49.7,14.5,17.4,15.5,3.0,4.17271,4.73706,4.15989,4.42659,4.57377,https://movies.yahoo.co.jp/movie/372555
51,ミッション：インポッシブル／ローグ・ネイション,2015年,131分,アメリカ,アクション,サスペンス,ジャンル記載なし,ジャンル記載なし,4.23,8839,46.9,36.0,12.3,2.6,2.2,3.93718,4.42954,4.28122,4.43765,4.16893,https://movies.yahoo.co.jp/movie/352384
52,トイ・ストーリー4,2019年,100分,アメリカ,ファミリー,アドベンチャー,コメディ,アニメ,3.54,8795,32.5,28.7,14.6,9.1,15.2,2.83989,3.58871,3.2424,4.41204,3.78162,https://movies.yahoo.co.jp/movie/366134
53,リメンバー・ミー,2017年,105分,アメリカ,ファンタジー,アドベンチャー,アニメ,ジャンル記載なし,4.36,8643,58.7,26.6,9.4,2.5,2.8,4.33795,4.26626,4.33366,4.70717,4.51741,https://movies.yahoo.co.jp/movie/360948
54,ショーシャンクの空に,1994年,143分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.52,8368,68.1,21.2,7.0,2.0,1.7,4.63201,4.68306,4.49647,4.36328,4.1951,https://movies.yahoo.co.jp/movie/10909
55,打ち上げ花火、下から見るか？横から見るか？,2017年,90分,日本,青春,ロマンス,ファンタジー,アニメ,3.06,8335,34.7,8.7,13.3,14.2,29.1,2.20127,2.21528,2.5,3.35949,3.64924,https://movies.yahoo.co.jp/movie/358994
56,ブレードランナー 2049,2017年,163分,アメリカ,SF,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.08,8331,49.2,24.3,16.0,6.4,4.1,3.40966,3.83198,3.60323,4.16068,3.5027,https://movies.yahoo.co.jp/movie/359122
57,セッション,2014年,107分,アメリカ,ドラマ,青春,ジャンル記載なし,ジャンル記載なし,4.1,8262,45.7,31.7,13.5,5.1,4.1,3.84835,4.3802,4.21304,4.06881,4.39092,https://movies.yahoo.co.jp/movie/350927
58,三度目の殺人,2017年,125分,日本,サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,3.6,8170,33.8,21.2,24.9,11.8,8.3,3.07785,3.88293,3.32268,3.36784,3.18805,https://movies.yahoo.co.jp/movie/359771
59,ゲド戦記,2006年,115分,日本,ファンタジー,ドラマ,アニメ,ジャンル記載なし,2.33,8072,12.8,11.3,15.2,18.1,42.7,2.22572,2.53785,2.08767,2.6555,3.12303,https://movies.yahoo.co.jp/movie/324031
60,信長協奏曲（のぶながコンツェルト）,2016年,125分,日本,アドベンチャー,SF,ジャンル記載なし,ジャンル記載なし,3.44,8054,37.8,20.2,13.6,5.3,23.1,3.375,4.18446,3.35008,3.57536,3.76175,https://movies.yahoo.co.jp/movie/353539
61,君のまなざし,2017年,114分,日本,ファンタジー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.01,8027,23.6,1.5,0.7,0.5,73.7,4.23985,3.88475,3.76951,3.88475,3.72862,https://movies.yahoo.co.jp/movie/358928
62,インセプション,2010年,148分,アメリカ,SF,サスペンス,アクション,ジャンル記載なし,4.07,7997,42.4,33.1,16.3,5.1,3.1,3.95857,4.30939,4.14569,4.46363,3.94694,https://movies.yahoo.co.jp/movie/334832
63,アイアムアヒーロー,2015年,127分,日本,ホラー,サスペンス,ドラマ,ジャンル記載なし,3.42,7985,23.9,31.1,22.0,8.7,14.3,3.15026,4.13353,3.70827,3.93002,3.24075,https://movies.yahoo.co.jp/movie/352951
64,ミッション：インポッシブル／フォールアウト,2018年,147分,アメリカ,アクション,サスペンス,アドベンチャー,ジャンル記載なし,4.24,7928,47.9,35.3,11.7,3.2,1.9,3.75442,4.39624,4.24608,4.5177,4.18248,https://movies.yahoo.co.jp/movie/363223
65,グリーンブック,2018年,130分,アメリカ,ドラマ,コメディ,ジャンル記載なし,ジャンル記載なし,4.49,7900,61.3,30.0,6.3,1.1,1.3,4.48991,4.69222,4.38983,4.22963,4.4263,https://movies.yahoo.co.jp/movie/365598
66,ダークナイト,2008年,152分,アメリカ,アクション,サスペンス,アドベンチャー,ジャンル記載なし,4.39,7755,60.6,24.4,10.1,2.9,2.0,4.29565,4.5763,4.39097,4.46729,4.20332,https://movies.yahoo.co.jp/movie/329605
67,アラジン,2019年,128分,アメリカ,アドベンチャー,ファンタジー,ミュージカル,ジャンル記載なし,4.28,7580,55.4,27.0,10.1,5.1,2.4,4.12094,4.2985,4.24715,4.57318,4.55175,https://movies.yahoo.co.jp/movie/366505
68,天外者（てんがらもん）,2020年,109分,日本,ドラマ,青春,ジャンル記載なし,ジャンル記載なし,3.72,7570,56.1,9.9,5.3,7.1,21.6,4.03941,4.67118,4.07918,4.2418,3.88122,https://movies.yahoo.co.jp/movie/374034
69,レディ・プレイヤー1,2018年,140分,アメリカ,SF,アクション,アドベンチャー,ジャンル記載なし,4.02,7521,39.7,34.6,17.3,5.2,3.3,3.539,3.57104,4.03904,4.4929,3.95914,https://movies.yahoo.co.jp/movie/362706
70,さらば青春、されど青春。,2018年,114分,日本,青春,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.25,7515,30.0,1.3,0.6,0.4,67.8,4.02884,3.89855,3.77403,3.91346,4.23076,https://movies.yahoo.co.jp/movie/362937
71,空母いぶき,2019年,134分,日本,サスペンス,戦争,ジャンル記載なし,ジャンル記載なし,3.62,7476,20.6,51.2,10.5,5.5,12.2,2.79676,3.44782,2.79716,3.17105,2.81383,https://movies.yahoo.co.jp/movie/366076
72,ミュージアム,2016年,132分,日本,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.13,7363,27.2,18.9,19.4,8.8,25.7,3.08991,3.69939,3.05717,3.24665,3.1034,https://movies.yahoo.co.jp/movie/354843
73,永遠の0,2013年,144分,日本,ドラマ,戦争,ジャンル記載なし,ジャンル記載なし,3.96,7338,46.7,24.7,14.2,6.6,7.8,4.04638,4.17615,3.82314,4.23512,3.83255,https://movies.yahoo.co.jp/movie/346152
