,タイトル,製作年度,上映時間,製作国,ジャンル1,ジャンル2,ジャンル3,ジャンル4,平均評価,評価数,5点評価の割合,4点評価の割合,3点評価の割合,2点評価の割合,1点評価の割合,物語,配役,演出,映像,音楽,詳細url 
1505,曇天に笑う,2018年,94分,日本,アクション,ファンタジー,ジャンル記載なし,ジャンル記載なし,2.71,1108,22.7,10.2,16.3,16.5,34.2,2.76373,3.46961,2.90607,3.10497,3.35714,https://movies.yahoo.co.jp/movie/357226
1506,アンフェア　the movie,2007年,112分,日本,サスペンス,アクション,ジャンル記載なし,ジャンル記載なし,2.85,1108,9.2,20.3,32.3,23.1,15.1,2.72754,3.71732,2.79969,2.98165,3.17665,https://movies.yahoo.co.jp/movie/326043
1507,県庁の星,2006年,131分,日本,ドラマ,コメディ,ジャンル記載なし,ジャンル記載なし,3.77,1107,30.2,31.7,27.1,7.3,3.7,3.95659,4.27652,3.78456,3.58681,3.54927,https://movies.yahoo.co.jp/movie/323471
1508,ジャックと天空の巨人,2013年,114分,アメリカ,アクション,アドベンチャー,ファンタジー,ジャンル記載なし,3.33,1107,13.4,30.1,38.8,11.5,6.2,3.6625,3.60833,3.75,4.1375,3.41176,https://movies.yahoo.co.jp/movie/344473
1509,太平洋の奇跡フォックスと呼ばれた男,2011年,128分,日本,ドラマ,戦争,ジャンル記載なし,ジャンル記載なし,3.5,1107,21.1,31.2,31.7,8.9,7.2,3.6276,3.92628,3.39354,3.69838,3.41612,https://movies.yahoo.co.jp/movie/337962
1510,ネバーランド,2004年,100分,"イギリス,アメリカ",ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.77,1106,28.9,32.1,28.3,8.1,2.6,4.28346,4.5433,4.19444,4.24901,4.0119,https://movies.yahoo.co.jp/movie/321184
1511,ローン・レンジャー,2013年,149分,アメリカ,アクション,西部劇,ジャンル記載なし,ジャンル記載なし,3.32,1106,18.0,26.2,32.8,15.8,7.1,3.32518,3.9511,3.58374,3.93611,3.92059,https://movies.yahoo.co.jp/movie/344573
1512,ヴィレッジ,2004年,108分,アメリカ,サスペンス,ロマンス,ジャンル記載なし,ジャンル記載なし,3.39,1105,16.7,30.7,32.9,13.9,5.8,3.45161,3.6482,3.57142,3.78246,3.28524,https://movies.yahoo.co.jp/movie/319653
1513,リピーテッド,2014年,92分,"アメリカ,イギリス,フランス,スウェーデン",サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.34,1104,16.5,23.9,41.2,13.8,4.6,3.031,3.66666,3.07751,3.23255,2.93798,https://movies.yahoo.co.jp/movie/351910
1514,交渉人,1998年,139分,アメリカ,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.08,1104,35.3,42.1,18.8,2.7,1.1,4.41621,4.66847,4.23497,3.96174,3.75543,https://movies.yahoo.co.jp/movie/85040
1515,ハンガー・ゲーム2,2013年,147分,アメリカ,アクション,アドベンチャー,SF,ジャンル記載なし,3.07,1104,10.8,21.1,41.4,17.8,8.9,3.11344,3.65271,3.20588,3.48319,3.0851,https://movies.yahoo.co.jp/movie/346556
1516,ナショナル・トレジャー,2004年,131分,アメリカ,アドベンチャー,アクション,ジャンル記載なし,ジャンル記載なし,3.64,1104,18.8,37.9,34.2,7.1,2.0,3.87916,3.9875,3.87083,3.83333,3.56903,https://movies.yahoo.co.jp/movie/321200
1517,今度は愛妻家,2009年,131分,日本,ドラマ,コメディ,ジャンル記載なし,ジャンル記載なし,4.09,1103,41.4,35.9,15.1,5.5,2.1,4.07352,4.52201,4.00635,4.04872,3.85169,https://movies.yahoo.co.jp/movie/335282
1518,劇場版 うたの☆プリンスさまっ♪ マジLOVEキングダム,2019年,84分,日本,ロマンス,アニメ,ジャンル記載なし,ジャンル記載なし,4.57,1103,82.1,6.8,3.4,1.7,6.1,3.83783,4.7086,4.61437,4.73856,4.81045,https://movies.yahoo.co.jp/movie/360785
1519,ボディガード,1992年,135分,アメリカ,サスペンス,ロマンス,ジャンル記載なし,ジャンル記載なし,3.61,1102,21.4,32.0,35.4,8.2,3.0,3.29411,4.05882,3.44444,3.6013,4.48684,https://movies.yahoo.co.jp/movie/21553
1520,ハッピー・デス・デイ,2017年,96分,アメリカ,ホラー,コメディ,ジャンル記載なし,ジャンル記載なし,3.86,1102,26.1,43.8,22.4,5.1,2.5,4.03821,3.98726,4.03821,3.72611,3.51923,https://movies.yahoo.co.jp/movie/367261
1521,映画　「けいおん !」,2011年,110分,日本,青春,アニメ,ジャンル記載なし,ジャンル記載なし,3.99,1102,56.5,17.0,8.1,5.7,12.7,3.54631,4.22673,3.88066,4.22911,4.21479,https://movies.yahoo.co.jp/movie/339690
1522,閉鎖病棟　それぞれの朝,2019年,117分,日本,ドラマ,サスペンス,ジャンル記載なし,ジャンル記載なし,3.46,1103,19.4,35.0,26.0,11.1,8.5,3.12077,4.16746,3.18357,3.28502,3.2512,https://movies.yahoo.co.jp/movie/367091
1523,ファインディング・ニモ,2003年,101分,アメリカ,ファミリー,アドベンチャー,ファンタジー,アニメ,3.88,1101,26.8,42.2,25.2,4.1,1.7,4.05333,4.06756,4.05369,4.48666,3.89864,https://movies.yahoo.co.jp/movie/241078
1524,SPY/スパイ,2015年,120分,アメリカ,コメディ,アクション,ジャンル記載なし,ジャンル記載なし,3.84,1100,26.7,41.6,23.5,5.4,2.8,3.75438,4.3421,3.91228,3.81578,3.70175,https://movies.yahoo.co.jp/movie/356727
1525,フィフティ・シェイズ・オブ・グレイ,2015年,125分,アメリカ,ロマンス,ドラマ,ジャンル記載なし,ジャンル記載なし,2.64,1098,9.5,14.5,27.6,27.4,21.0,2.34661,3.22222,2.44223,2.80079,3.13888,https://movies.yahoo.co.jp/movie/350309
1526,バッテリー,2006年,118分,日本,青春,ドラマ,ジャンル記載なし,ジャンル記載なし,3.98,1097,40.7,31.0,18.2,6.0,4.1,3.98493,4.32981,3.8803,4.18154,3.89361,https://movies.yahoo.co.jp/movie/326092
1527,ファウンダー　ハンバーガー帝国のヒミツ,2016年,115分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.73,1097,16.9,49.7,26.3,4.3,2.8,4.04794,4.24137,3.86206,3.68275,3.25694,https://movies.yahoo.co.jp/movie/360439
1528,破門　ふたりのヤクビョーガミ,2017年,120分,日本,コメディ,アクション,ジャンル記載なし,ジャンル記載なし,3.48,1097,22.9,32.7,23.5,11.8,9.1,3.64516,3.94054,3.29569,3.3027,3.36413,https://movies.yahoo.co.jp/movie/354531
1529,アフター・アース,2013年,100分,アメリカ,SF,アドベンチャー,アクション,ジャンル記載なし,2.43,1097,5.3,12.5,26.7,31.5,24.1,2.25999,2.71633,2.38793,3.04885,2.53448,https://movies.yahoo.co.jp/movie/344613
1530,ストロベリーナイト,2013年,127分,日本,サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,3.22,1097,12.4,28.5,35.6,15.0,8.4,2.91383,4.07482,3.17272,3.38952,3.45662,https://movies.yahoo.co.jp/movie/343364
1531,メリーに首ったけ,1998年,119分,アメリカ,コメディ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.71,1095,21.6,39.4,29.8,6.6,2.7,3.69743,4.31282,3.6923,3.51794,3.59693,https://movies.yahoo.co.jp/movie/84698
1532,イントゥ・ザ・ストーム,2014年,89分,アメリカ,アドベンチャー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.48,1094,14.4,36.0,35.4,11.3,2.9,3.10942,3.31402,3.74772,4.45757,3.27659,https://movies.yahoo.co.jp/movie/349189
1533,大脱走,1963年,168分,アメリカ,アクション,戦争,ジャンル記載なし,ジャンル記載なし,4.4,1094,60.8,24.1,10.7,2.7,1.7,4.56418,4.71959,4.47297,4.32432,4.67676,https://movies.yahoo.co.jp/movie/13693
1534,ハゲタカ,2009年,134分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.96,1091,35.9,35.7,19.6,6.3,2.5,3.99699,4.45359,4.02878,3.98036,4.02727,https://movies.yahoo.co.jp/movie/333057
1535,モンスター,2003年,109分,"アメリカ,ドイツ",ドラマ,サスペンス,ジャンル記載なし,ジャンル記載なし,3.78,1090,23.5,42.4,25.1,6.6,2.4,3.83385,4.47962,3.78616,3.5552,3.39116,https://movies.yahoo.co.jp/movie/319349
1536,ミュータント・タートルズ,2014年,101分,アメリカ,アクション,アドベンチャー,ジャンル記載なし,ジャンル記載なし,3.35,1090,14.3,29.4,38.0,14.0,4.3,3.07089,3.26691,3.59328,4.10074,3.45488,https://movies.yahoo.co.jp/movie/349333
1537,デス・ウィッシュ,2018年,107分,アメリカ,アクション,サスペンス,ジャンル記載なし,ジャンル記載なし,3.44,1090,12.5,33.5,43.1,7.3,3.6,3.32278,3.78343,3.49044,3.41401,3.16666,https://movies.yahoo.co.jp/movie/364461
1538,食べて、祈って、恋をして,2010年,140分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.74,1088,10.5,15.1,30.2,26.5,17.8,2.57314,3.3149,2.82082,3.46634,3.10679,https://movies.yahoo.co.jp/movie/336557
1539,映画 妖怪ウォッチ　エンマ大王と5つの物語だニャン！,2015年,94分,日本,アドベンチャー,ファミリー,ファンタジー,アニメ,3.62,1087,39.9,19.9,17.2,8.5,14.5,3.30578,3.25833,3.29166,3.4876,3.4628,https://movies.yahoo.co.jp/movie/352692
1540,KUBO／クボ　二本の弦の秘密,2016年,103分,アメリカ,ファンタジー,アドベンチャー,アニメ,ジャンル記載なし,3.87,1087,35.0,33.2,19.7,7.8,4.3,3.6242,3.95569,3.96202,4.61392,4.01898,https://movies.yahoo.co.jp/movie/359622
1541,ゼロの焦点,2009年,131分,日本,ドラマ,サスペンス,ジャンル記載なし,ジャンル記載なし,3.12,1083,9.4,25.0,41.2,16.8,7.6,3.5268,3.52486,3.10147,3.50185,2.94962,https://movies.yahoo.co.jp/movie/334146
1542,名探偵コナン　天空の難破船（ロスト・シップ）,2010年,102分,日本,サスペンス,ファミリー,アニメ,ジャンル記載なし,3.86,1083,38.4,28.0,19.9,8.2,5.5,3.89775,3.95707,3.88888,4.01767,3.88131,https://movies.yahoo.co.jp/movie/335766
1543,ウォーターボーイズ,2001年,91分,日本,青春,コメディ,ドラマ,ジャンル記載なし,4.0,1080,31.9,44.1,18.0,3.9,2.1,3.82517,4.13986,3.85915,3.70629,4.02797,https://movies.yahoo.co.jp/movie/234846
1544,ディア・ハンター,1978年,183分,アメリカ,ドラマ,戦争,ジャンル記載なし,ジャンル記載なし,4.17,1079,45.7,34.9,12.7,4.5,2.3,4.15668,4.69444,4.26511,4.18518,4.34112,https://movies.yahoo.co.jp/movie/14978
1545,ティム・バートンのコープスブライド,2005年,77分,イギリス,ファンタジー,ロマンス,コメディ,アニメ,3.71,1079,25.4,33.0,31.4,7.4,2.8,3.79439,3.97819,4.13395,4.42367,4.01246,https://movies.yahoo.co.jp/movie/322814
1546,ゴーストライダー,2007年,110分,アメリカ,アクション,アドベンチャー,ファンタジー,ジャンル記載なし,2.88,1079,8.4,15.4,40.3,27.7,8.2,2.63771,3.23821,2.92537,3.44638,3.105,https://movies.yahoo.co.jp/movie/326662
1547,マダム・イン・ニューヨーク,2012年,134分,インド,ドラマ,ロマンス,コメディ,ジャンル記載なし,4.29,1079,48.8,36.5,10.8,2.4,1.4,4.20121,4.44512,4.05487,4.10429,4.0432,https://movies.yahoo.co.jp/movie/348781
1548,チャーリーズ・エンジェル,2000年,98分,アメリカ,アクション,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.57,1077,17.4,33.9,39.3,7.1,2.4,3.57638,4.40559,3.96428,3.90845,3.85,https://movies.yahoo.co.jp/movie/161217
1549,前田建設ファンタジー営業部,2020年,115分,日本,コメディ,ドラマ,青春,ジャンル記載なし,4.06,1075,46.4,29.4,13.7,4.9,5.6,4.11274,4.17733,3.87192,3.78431,3.67647,https://movies.yahoo.co.jp/movie/369006
1550,僕等がいた　前篇,2011年,123分,日本,青春,ロマンス,ジャンル記載なし,ジャンル記載なし,2.81,1074,25.8,12.0,16.5,8.9,36.9,3.23886,3.00401,3.05691,3.39183,3.59514,https://movies.yahoo.co.jp/movie/340833
1551,ソードフィッシュ,2001年,99分,アメリカ,サスペンス,アクション,ジャンル記載なし,ジャンル記載なし,3.6,1073,17.2,39.1,32.1,9.7,2.0,3.73964,4.30177,3.84023,3.92261,3.56547,https://movies.yahoo.co.jp/movie/235964
1552,猫の恩返し,2002年,75分,日本,ファンタジー,ドラマ,アニメ,ジャンル記載なし,3.41,1072,20.7,25.2,35.1,12.8,6.3,3.03472,3.35664,3.12587,3.32867,3.40277,https://movies.yahoo.co.jp/movie/238828
1553,銀魂 THE FINAL,2021年,104分,日本,コメディ,SF,アニメ,ジャンル記載なし,4.03,1071,52.5,20.5,12.6,6.5,7.8,3.9261,4.63861,3.87192,3.76354,4.36453,https://movies.yahoo.co.jp/movie/369333
1554,イン・ハー・シューズ,2005年,131分,アメリカ,ドラマ,コメディ,ジャンル記載なし,ジャンル記載なし,3.79,1071,25.6,39.3,25.8,6.8,2.5,4.03022,4.30303,3.84771,3.75189,3.48979,https://movies.yahoo.co.jp/movie/323154
1555,リバー・ランズ・スルー・イット,1992年,124分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.81,1070,29.4,35.1,26.2,6.4,3.0,3.96428,4.38129,4.08633,4.6187,3.92805,https://movies.yahoo.co.jp/movie/24940
1556,天地明察,2012年,141分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.57,1070,20.8,34.8,30.3,9.2,5.1,3.7762,4.10764,3.52691,3.84857,3.82857,https://movies.yahoo.co.jp/movie/342231
1557,あなたへ,2012年,111分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.67,1070,26.5,32.3,27.9,8.6,4.7,3.5213,4.2325,3.60506,3.8604,3.63959,https://movies.yahoo.co.jp/movie/341849
1558,ハングオーバー!!　史上最悪の二日酔い、国境を越える,2011年,102分,アメリカ,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.55,1069,16.8,36.7,34.9,8.2,3.4,3.29535,4.03813,3.55508,3.4661,3.43589,https://movies.yahoo.co.jp/movie/339667
1559,パッチ・アダムス　トゥルー・ストーリー,1998年,116分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.12,1069,43.2,33.9,16.8,3.7,2.3,4.37735,4.5,4.10126,4.0443,3.98089,https://movies.yahoo.co.jp/movie/84828
1560,レッドタートル　ある島の物語,2016年,81分,"日本,フランス,ベルギー",ドラマ,アニメ,ジャンル記載なし,ジャンル記載なし,3.28,1069,24.1,24.9,21.6,13.6,15.8,3.22535,2.97395,3.53333,3.91509,3.63157,https://movies.yahoo.co.jp/movie/355061
1561,ホース・ソルジャー,2017年,130分,アメリカ,アクション,ドラマ,サスペンス,ジャンル記載なし,3.59,1067,18.1,37.5,33.0,8.2,3.3,3.48,3.864,3.472,3.936,3.264,https://movies.yahoo.co.jp/movie/363611
1562,スカイライン征服,2010年,94分,アメリカ,SF,アクション,ジャンル記載なし,ジャンル記載なし,2.54,1067,6.4,15.2,26.9,28.8,22.8,2.08596,2.35802,2.5264,3.58566,2.62962,https://movies.yahoo.co.jp/movie/339013
1563,それでも恋するバルセロナ,2008年,96分,"スペイン,アメリカ",コメディ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.19,1067,9.8,29.2,38.1,16.4,6.5,3.13855,4.20359,3.45783,3.76204,3.61631,https://movies.yahoo.co.jp/movie/331826
1564,映画 謎解きはディナーのあとで,2013年,121分,日本,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.96,1067,20.4,17.9,22.8,15.2,23.7,2.97763,3.47923,2.91935,3.1461,3.05844,https://movies.yahoo.co.jp/movie/344792
1565,貞子3D,2012年,96分,日本,ホラー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,1.58,1067,4.3,2.4,8.3,16.8,68.1,1.44773,2.24724,1.53459,1.84968,1.85031,https://movies.yahoo.co.jp/movie/341610
1566,舞妓はレディ,2014年,135分,日本,コメディ,ミュージカル,ジャンル記載なし,ジャンル記載なし,3.56,1066,23.6,32.5,26.8,11.2,6.0,3.31172,4.0,3.38153,3.49074,3.613,https://movies.yahoo.co.jp/movie/348578
1567,音量を上げろタコ！なに歌ってんのか全然わかんねぇんだよ！！,2018年,106分,日本,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.28,1065,9.8,10.4,17.7,22.2,40.0,1.90836,3.2244,2.10843,2.17928,3.07114,https://movies.yahoo.co.jp/movie/364042
1568,サヨナライツカ,2009年,134分,韓国,ロマンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.88,1064,17.7,17.8,20.9,22.7,21.1,2.63181,3.45427,2.62407,3.40713,3.17991,https://movies.yahoo.co.jp/movie/333672
1569,ソウ2,2005年,100分,アメリカ,サスペンス,ホラー,ジャンル記載なし,ジャンル記載なし,3.59,1064,19.5,36.8,30.9,8.9,3.9,3.76891,3.53798,3.80492,3.80287,3.5679,https://movies.yahoo.co.jp/movie/323212
1570,少林少女,2008年,107分,日本,アクション,コメディ,ジャンル記載なし,ジャンル記載なし,1.84,1064,2.9,6.8,14.9,22.6,52.8,1.54057,3.00987,1.8383,2.30759,2.295,https://movies.yahoo.co.jp/movie/327993
1571,トワイライト ささらさや,2014年,114分,日本,ドラマ,ファンタジー,ジャンル記載なし,ジャンル記載なし,3.53,1064,20.9,32.1,30.6,11.8,4.5,3.4888,4.01858,3.27611,3.34328,3.44981,https://movies.yahoo.co.jp/movie/349022
1572,ソウ3,2006年,108分,アメリカ,サスペンス,ホラー,ジャンル記載なし,ジャンル記載なし,3.1,1063,11.4,23.5,37.6,18.4,9.0,3.1644,3.22108,3.2419,3.2619,3.23639,https://movies.yahoo.co.jp/movie/325995
1573,ういらぶ。,2018年,100分,日本,ロマンス,青春,ジャンル記載なし,ジャンル記載なし,2.9,1062,29.9,10.1,14.4,11.1,34.6,2.72477,3.62037,2.87962,3.04587,3.2909,https://movies.yahoo.co.jp/movie/364115
1574,グリーン・ゾーン,2010年,114分,"フランス,アメリカ,スペイン,イギリス",アクション,サスペンス,戦争,ジャンル記載なし,3.27,1062,12.0,25.7,43.4,15.2,3.8,3.27291,3.8643,3.45815,3.50627,3.25313,https://movies.yahoo.co.jp/movie/336109
1575,ハンガー・ゲーム FINAL： レボリューション,2015年,137分,アメリカ,アクション,アドベンチャー,SF,ジャンル記載なし,3.06,1061,14.3,20.5,35.3,16.7,13.3,2.92198,3.71126,3.07092,3.51408,3.16428,https://movies.yahoo.co.jp/movie/351610
1576,サイン,2002年,107分,アメリカ,ドラマ,サスペンス,ホラー,ジャンル記載なし,2.94,1060,12.2,19.8,32.1,21.3,14.6,2.84474,3.46118,3.10958,2.9726,3.00913,https://movies.yahoo.co.jp/movie/237781
1577,CASSHERN,2004年,141分,日本,SF,アクション,ジャンル記載なし,ジャンル記載なし,2.74,1059,17.2,17.1,18.0,17.9,29.8,2.61246,3.37027,2.75543,3.43631,3.25409,https://movies.yahoo.co.jp/movie/318674
1578,ラブ＆ピース,2015年,117分,日本,ドラマ,ファンタジー,特撮,ジャンル記載なし,3.15,1059,21.9,19.6,25.5,17.0,16.0,3.20218,3.85635,3.36813,3.39779,3.43888,https://movies.yahoo.co.jp/movie/351529
1579,遊星からの物体X,1982年,109分,アメリカ,SF,ホラー,ジャンル記載なし,ジャンル記載なし,4.16,1057,43.1,36.4,15.0,4.5,1.0,4.41525,4.19915,4.48085,4.47457,4.13559,https://movies.yahoo.co.jp/movie/23987
1580,カウボーイ＆エイリアン,2011年,118分,アメリカ,SF,アクション,西部劇,ジャンル記載なし,2.8,1057,6.1,15.8,40.3,27.4,10.4,2.5433,3.68146,2.76315,3.1496,2.8488,https://movies.yahoo.co.jp/movie/339354
1581,小野寺の弟・小野寺の姉,2014年,114分,日本,コメディ,ドラマ,ロマンス,ジャンル記載なし,2.79,1057,16.1,22.5,19.8,8.0,33.7,3.62222,4.15555,3.71111,3.57333,3.40265,https://movies.yahoo.co.jp/movie/349079
1582,ジョーカー・ゲーム,2014年,107分,日本,アクション,サスペンス,ジャンル記載なし,ジャンル記載なし,3.18,1057,21.9,22.9,23.5,14.7,17.1,3.2618,3.68884,3.30901,3.61771,3.47413,https://movies.yahoo.co.jp/movie/348399
1583,マラヴィータ,2013年,111分,"アメリカ,フランス",コメディ,ドラマ,ジャンル記載なし,ジャンル記載なし,3.37,1056,11.4,34.6,38.2,11.3,4.6,3.44897,4.29591,3.62755,3.53571,3.41836,https://movies.yahoo.co.jp/movie/346657
1584,ミッドナイト・ラン,1988年,126分,アメリカ,アクション,コメディ,ジャンル記載なし,ジャンル記載なし,4.33,1056,51.8,32.8,12.1,2.8,0.5,4.57207,4.713,4.46606,4.13452,4.22624,https://movies.yahoo.co.jp/movie/22894
1585,つぐない,2007年,123分,イギリス,ドラマ,戦争,ロマンス,ジャンル記載なし,3.92,1057,33.5,36.0,22.0,6.1,2.6,4.1528,4.34831,4.19325,4.36936,4.15765,https://movies.yahoo.co.jp/movie/328495
1586,コン・エアー,1997年,114分,アメリカ,アクション,サスペンス,ジャンル記載なし,ジャンル記載なし,3.9,1055,28.8,40.1,25.0,4.5,1.6,3.98496,4.52631,4.16793,4.14503,3.93129,https://movies.yahoo.co.jp/movie/83418
1587,ボーン・コレクター,1999年,117分,アメリカ,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.43,1055,10.6,38.3,37.9,9.9,3.3,3.40384,4.0974,3.38961,3.43421,3.11184,https://movies.yahoo.co.jp/movie/159872
1588,ぐるりのこと。,2008年,140分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.97,1055,37.5,33.6,19.6,6.6,2.7,4.08096,4.59825,4.17763,3.92794,3.74454,https://movies.yahoo.co.jp/movie/328806
1589,なくもんか,2009年,134分,日本,ドラマ,コメディ,ジャンル記載なし,ジャンル記載なし,3.24,1054,12.3,27.5,38.1,16.1,5.9,3.18823,4.0549,3.30769,3.33992,3.29025,https://movies.yahoo.co.jp/movie/334591
1590,追憶の森,2015年,111分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.39,1053,15.4,33.1,32.7,13.2,5.7,3.48275,3.99428,3.60344,3.79428,3.25714,https://movies.yahoo.co.jp/movie/355273
1591,黒執事,2014年,119分,日本,アクション,サスペンス,ファンタジー,ジャンル記載なし,3.11,1050,26.2,18.7,19.1,11.8,24.2,3.24061,3.55972,3.48892,3.77948,3.56849,https://movies.yahoo.co.jp/movie/346264
1592,ラスト・ナイツ,2015年,115分,アメリカ,アクション,ドラマ,ジャンル記載なし,ジャンル記載なし,3.4,1050,26.1,25.9,22.8,12.2,13.1,3.40866,3.80246,3.37577,3.69875,3.35514,https://movies.yahoo.co.jp/movie/353521
1593,青くて痛くて脆い,2020年,119分,日本,青春,サスペンス,ジャンル記載なし,ジャンル記載なし,3.43,1049,25.9,25.6,25.4,11.7,11.4,3.30379,4.12288,3.30341,3.48085,3.30769,https://movies.yahoo.co.jp/movie/371867
1594,28週後...,2007年,104分,"イギリス,スペイン",ホラー,SF,アクション,ジャンル記載なし,3.17,1049,12.3,26.7,36.1,15.1,9.8,2.9425,3.21694,3.20289,3.34575,3.28215,https://movies.yahoo.co.jp/movie/329144
1595,きいろいゾウ,2012年,131分,日本,ロマンス,ドラマ,ジャンル記載なし,ジャンル記載なし,2.21,1048,8.9,9.9,18.9,18.4,43.9,2.74208,3.61818,2.81278,3.37727,3.0,https://movies.yahoo.co.jp/movie/343721
1596,ガールズ＆パンツァー　これが本当のアンツィオ戦です！,2014年,38分,日本,アクション,アニメ,ジャンル記載なし,ジャンル記載なし,4.56,1048,82.1,6.5,3.7,0.8,7.0,4.17307,4.26923,4.38461,4.61538,4.5,https://movies.yahoo.co.jp/movie/348394
1597,ロボコップ,2014年,117分,アメリカ,SF,アクション,ジャンル記載なし,ジャンル記載なし,3.12,1047,6.9,25.5,45.9,16.3,5.4,3.05882,3.4299,3.1625,3.61682,3.16614,https://movies.yahoo.co.jp/movie/346944
1598,ロビン・フッド,2010年,140分,"アメリカ,イギリス",アクション,アドベンチャー,ドラマ,ジャンル記載なし,3.34,1045,15.3,30.5,35.1,10.6,8.4,3.60925,4.12051,3.8402,4.10256,3.57583,https://movies.yahoo.co.jp/movie/336827
1599,エンジェル ウォーズ,2011年,110分,"アメリカ,カナダ",アクション,ファンタジー,ジャンル記載なし,ジャンル記載なし,3.31,1045,20.5,27.1,26.4,15.5,10.5,2.95841,3.698,3.63073,4.28429,3.96023,https://movies.yahoo.co.jp/movie/336630
1600,スペル,2009年,99分,アメリカ,ホラー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.44,1044,18.6,32.5,30.4,11.2,7.4,3.31028,3.72284,3.68984,3.56074,3.45197,https://movies.yahoo.co.jp/movie/334820
1601,カツベン！,2019年,127分,日本,コメディ,アクション,ジャンル記載なし,ジャンル記載なし,3.6,1043,23.2,34.6,26.9,9.1,6.1,3.56097,4.10243,3.46829,3.65365,3.39408,https://movies.yahoo.co.jp/movie/367966
1602,白雪姫と鏡の女王,2012年,106分,アメリカ,ファンタジー,コメディ,ジャンル記載なし,ジャンル記載なし,3.38,1043,14.9,31.2,36.4,12.6,5.0,3.41125,4.04761,3.50869,3.90434,3.38864,https://movies.yahoo.co.jp/movie/342773
1603,模倣犯,2002年,123分,日本,サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,2.45,1042,13.8,11.4,17.8,20.4,36.7,1.84337,2.35714,1.49397,1.71515,1.82634,https://movies.yahoo.co.jp/movie/237879
1604,北の桜守,2017年,126分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.17,1041,21.6,22.8,22.0,18.4,15.3,3.43617,3.83422,3.17647,3.53191,3.37765,https://movies.yahoo.co.jp/movie/360976
1605,ニューイヤーズ・イブ,2011年,118分,アメリカ,ロマンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.51,1041,18.1,35.2,31.6,10.4,4.8,3.37837,4.09652,3.52343,3.70588,3.75193,https://movies.yahoo.co.jp/movie/340512
1606,ビッグ,1988年,102分,アメリカ,コメディ,ファンタジー,ジャンル記載なし,ジャンル記載なし,4.21,1040,43.5,37.6,16.4,1.9,0.6,4.45283,4.49375,4.34375,4.0125,4.05625,https://movies.yahoo.co.jp/movie/19132
1607,マイ・ボディガード,2004年,146分,"アメリカ,メキシコ",アクション,サスペンス,ジャンル記載なし,ジャンル記載なし,3.91,1039,29.7,39.9,24.2,4.2,2.0,4.07317,4.56585,3.95588,3.79512,3.72772,https://movies.yahoo.co.jp/movie/319955
1608,グッドフェローズ,1990年,145分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.89,1039,30.3,36.8,26.4,4.9,1.6,3.86163,4.4375,4.02515,3.88679,3.94968,https://movies.yahoo.co.jp/movie/6287
1609,NANA,2005年,114分,日本,ドラマ,青春,ジャンル記載なし,ジャンル記載なし,3.03,1038,12.8,21.5,33.7,19.7,12.3,3.12972,2.92682,2.72899,2.96765,3.50537,https://movies.yahoo.co.jp/movie/321941
1610,激突！,1971年,89分,アメリカ,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.1,1036,40.4,37.2,16.1,4.2,2.1,4.01632,3.92712,4.51417,4.28163,3.6639,https://movies.yahoo.co.jp/movie/7018
